Carrier,MonthName,Month,Year,DeviceModel,NumCustomers
\N,"April","4","2015",\N,"3"
\N,"March","3","2015",\N,"23"
\N,"February","2","2015",\N,"17"
\N,"January","1","2015",\N,"16"
\N,"December","12","2014",\N,"10"
\N,"November","11","2014",\N,"5"
\N,"October","10","2014",\N,"8"
\N,"September","9","2014",\N,"13"
\N,"August","8","2014",\N,"9"
\N,"July","7","2014",\N,"7"
\N,"June","6","2014",\N,"6"
\N,"May","5","2014",\N,"7"
\N,"April","4","2014",\N,"11"
\N,"March","3","2014",\N,"31"
\N,"February","2","2014",\N,"3"
\N,"January","1","2014",\N,"4"
\N,"December","12","2013",\N,"8"
\N,"November","11","2013",\N,"3"
\N,"October","10","2013",\N,"2"
\N,"September","9","2013",\N,"2"
\N,"August","8","2013",\N,"1"
\N,"July","7","2013",\N,"5"
\N,"June","6","2013",\N,"4"
\N,"May","5","2013",\N,"3"
\N,"April","4","2013",\N,"4"
\N,"March","3","2013",\N,"1"
\N,"February","2","2013",\N,"1"
\N,"January","1","2013",\N,"1"
\N,"December","12","2012",\N,"3"
\N,"November","11","2012",\N,"1"
\N,"October","10","2012",\N,"2"
\N,"September","9","2012",\N,"1"
\N,"August","8","2012",\N,"1"
\N,"July","7","2012",\N,"2"
\N,"June","6","2012",\N,"3"
\N,"May","5","2012",\N,"1"
\N,"April","4","2012",\N,"1"
\N,"March","3","2012",\N,"2"
\N,"February","2","2012",\N,"2"
\N,"January","1","2012",\N,"1"
\N,"December","12","2011",\N,"2"
\N,"November","11","2011",\N,"2"
\N,"October","10","2011",\N,"6"
\N,"September","9","2011",\N,"2"
\N,"August","8","2011",\N,"1"
\N,"July","7","2011",\N,"3"
\N,"June","6","2011",\N,"1"
\N,"May","5","2011",\N,"2"
\N,"April","4","2011",\N,"3"
\N,"March","3","2011",\N,"1"
\N,"February","2","2011",\N,"1"
\N,"January","1","2011",\N,"2"
\N,"December","12","2010",\N,"2"
\N,"November","11","2010",\N,"2"
\N,"October","10","2010",\N,"1"
\N,"September","9","2010",\N,"1"
\N,"August","8","2010",\N,"1"
\N,"July","7","2010",\N,"2"
\N,"June","6","2010",\N,"1"
\N,"May","5","2010",\N,"3"
\N,"April","4","2010",\N,"3"
\N,"March","3","2010",\N,"1"
\N,"February","2","2010",\N,"2"
\N,"January","1","2010",\N,"1"
\N,"December","12","2009",\N,"3"
\N,"November","11","2009",\N,"1"
\N,"October","10","2009",\N,"1"
\N,"September","9","2009",\N,"1"
\N,"August","8","2009",\N,"1"
\N,"July","7","2009",\N,"1"
\N,"June","6","2009",\N,"1"
\N,"May","5","2009",\N,"1"
\N,"April","4","2009",\N,"2"
\N,"March","3","2009",\N,"1"
\N,"February","2","2009",\N,"2"
\N,"January","1","2009",\N,"1"
\N,"December","12","2008",\N,"1"
\N,"November","11","2008",\N,"1"
\N,"October","10","2008",\N,"1"
\N,"September","9","2008",\N,"1"
\N,"August","8","2008",\N,"1"
\N,"July","7","2008",\N,"1"
\N,"June","6","2008",\N,"2"
\N,"May","5","2008",\N,"1"
\N,"April","4","2008",\N,"1"
\N,"February","2","2008",\N,"1"
\N,"January","1","2008",\N,"1"
\N,"December","12","2007",\N,"1"
\N,"November","11","2007",\N,"1"
\N,"October","10","2007",\N,"2"
\N,"September","9","2007",\N,"1"
\N,"August","8","2007",\N,"2"
\N,"July","7","2007",\N,"1"
\N,"June","6","2007",\N,"1"
\N,"May","5","2007",\N,"2"
\N,"April","4","2007",\N,"1"
\N,"March","3","2007",\N,"1"
\N,"January","1","2007",\N,"1"
\N,"December","12","2006",\N,"2"
\N,"November","11","2006",\N,"1"
\N,"October","10","2006",\N,"1"
\N,"September","9","2006",\N,"1"
\N,"August","8","2006",\N,"1"
\N,"July","7","2006",\N,"1"
\N,"June","6","2006",\N,"1"
\N,"May","5","2006",\N,"1"
\N,"April","4","2006",\N,"1"
\N,"March","3","2006",\N,"1"
\N,"February","2","2006",\N,"2"
\N,"January","1","2006",\N,"6"
\N,"December","12","2005",\N,"3"
\N,"November","11","2005",\N,"1"
\N,"October","10","2005",\N,"1"
\N,"September","9","2005",\N,"1"
\N,"August","8","2005",\N,"1"
\N,"July","7","2005",\N,"1"
\N,"June","6","2005",\N,"1"
\N,"May","5","2005",\N,"1"
\N,"April","4","2005",\N,"1"
\N,"March","3","2005",\N,"1"
\N,"February","2","2005",\N,"1"
\N,"January","1","2005",\N,"2"
\N,"December","12","2004",\N,"1"
\N,"November","11","2004",\N,"1"
\N,"October","10","2004",\N,"1"
\N,"September","9","2004",\N,"1"
\N,"August","8","2004",\N,"1"
\N,"July","7","2004",\N,"1"
\N,"June","6","2004",\N,"1"
\N,"May","5","2004",\N,"2"
\N,"April","4","2004",\N,"4"
\N,"March","3","2004",\N,"3"
\N,"February","2","2004",\N,"3"
\N,"January","1","2004",\N,"3"
\N,"November","11","2003",\N,"4"
\N,"October","10","2003",\N,"1"
\N,"July","7","2003",\N,"1"
\N,"April","4","2003",\N,"1"
\N,"March","3","2003",\N,"1"
\N,"July","7","2002",\N,"1"
\N,"April","4","2002",\N,"1"
\N,"January","1","2002",\N,"1"
\N,"December","12","2001",\N,"1"
